reaction,gene,subsystem,name,methods,n_methods,consensus_score,FVSEOF_q_slope,FluxRETAP_flux_diff,CASOP_ko_score
R00216,RPA3042,Pyruvate metabolism,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating),FVSEOF|FluxRETAP,2,0.3962,-0.060478935498263,0.0835284933645704,
R01301,RPA1788,Benzoate degradation,4-Hydroxybenzoyl-CoA hydrolase,FVSEOF|FluxRETAP,2,0.3585,-0.0648635251390705,0.0835284933645594,
R01561,RPA4821,Purine metabolism,Adenosine:phosphate alpha-D-ribosyltransferase,FVSEOF|FluxRETAP,2,0.3396,-0.0646757672823062,0.0835284933645588,
R02090,RPA3069,Purine metabolism,ATP(d)GMP phosphotransferase,FVSEOF|FluxRETAP,2,0.3208,-0.0648635251378707,0.0835284933645588,
R01855,RPA0328,Purine metabolism,2-Deoxyguanosine 5-triphosphate pyrophosphohydrolase,FVSEOF|FluxRETAP,2,0.3137,-0.0648635251386114,0.0835284933645585,
R03503,RPA1838,Folate biosynthesis,"ATP2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",FVSEOF|FluxRETAP,2,0.3019,-0.0648635251379038,0.0835284933645586,
R02098,RPA2775,Pyrimidine metabolism,ATPdTMP phosphotransferase,FVSEOF|FluxRETAP,2,0.2642,-0.0646048640734543,0.0835284933645583,
R00190,RPA4492,Purine metabolism,AMPpyrophosphate phosphoribosyltransferase,FVSEOF|FluxRETAP,2,0.2453,-0.0646757672818248,0.0835284933645564,
R00894,RPA0822,Glutathione metabolism,L-GlutamateL-cysteine gamma-ligase (ADP-forming),FVSEOF|FluxRETAP,2,0.2264,-0.0567555844962529,0.073087431693989,
R00497,RPA0322,Glutathione metabolism,gamma-L-Glutamyl-L-cysteineglycine ligase (ADP-forming),FVSEOF|FluxRETAP,2,0.2075,-0.0567555844962839,0.0730874316939889,
R01130,RPA2200,Purine metabolism,IMPNAD+ oxidoreductase,FVSEOF|FluxRETAP,2,0.1698,-0.0522056559977873,0.0649666059502128,
R01134,RPA4561,Purine metabolism,NADHguanosine-5-phosphate oxidoreductase(deaminating),FVSEOF|FluxRETAP,2,0.1509,-0.0504494084414967,0.0649666059502127,
R03276,RPA0818,Fatty acid metabolism,(S)-3-Hydroxybutanoyl-CoA 3-epimerase,FluxRETAP,1,1.0,,0.3604369993875381,
R01195,RPA1578,Carbon fixation in photosynthetic organisms,FerredoxinNADP+ oxidoreductase,CASOP,1,1.0,,,0.1070648354625594
R01137,RPA3056,Purine metabolism,ATPnucleoside-diphosphate phosphatransferase,FluxRETAP,1,0.9623,,0.1948998178507428,
R02300,RPA3848,One carbon pool by folate,S-Aminomethyldihydrolipoylprotein:(6S)-tetrahydrofolate aminomethyltransferase (ammonia-forming),FluxRETAP,1,0.8302,,0.1461748633880476,
R01529,RPA3815,Pentose phosphate pathway,D-Ribulose-5-phosphate 3-epimerase,FVSEOF,1,0.8235,-0.2313889510864884,,
R00315,RPA4566,Taurine and hypotaurine metabolism,ATP:acetate phosphotransferase,FVSEOF,1,0.8039,-0.1159787472739341,,
R01325,RPA0202,Citrate cycle (TCA cycle),citrate hydro-lyase,FVSEOF,1,0.7843,-0.1337602702727922,,
R01900,RPA0202,Citrate cycle (TCA cycle),isocitrate hydro-lyase,CASOP,1,0.7273,,,0.0494669390881858
R00345,RPA1772,Pyruvate metabolism,Orthophosphateoxaloacetate carboxyl-lyase (phosphorylating),FluxRETAP,1,0.5472,,0.1161902760263428,
R00342,RPA0192,Citrate cycle (TCA cycle),(S)-malateNAD+ oxidoreductase,FluxRETAP,1,0.5283,,0.1070878120058483,
R02569,RPA2864,Glycolysis / Gluconeogenesis,acetyl-CoAenzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,FluxRETAP,1,0.4906,,0.1020566318927595,
R00479,RPA4394,Glyoxylate and dicarboxylate metabolism,Isocitrate glyoxylate-lyase,FVSEOF,1,0.4706,-0.0993560448183177,,
R02570,RPA0188,Citrate cycle (TCA cycle),succinyl-CoAenzyme N6-(dihydrolipoyl)lysine S-succinyltransferase,FluxRETAP,1,0.4528,,0.1020566318927549,
R00260,RPA1592,Glutamate metabolism,L-Glutamate racemase,FVSEOF,1,0.451,-0.087157222937443,,
R00472,RPA4216,Pyruvate metabolism,L-Malate glyoxylate-lyase (CoA-acetylating),FVSEOF,1,0.4314,-0.0915789654133069,,
R01899,RPA3834,Citrate cycle (TCA cycle),IsocitrateNADP+ oxidoreductase (decarboxylating),FVSEOF,1,0.3922,-0.087164303294333,,
R03066,RPA1840,Folate biosynthesis,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine4-",FluxRETAP,1,0.3774,,0.0835284933645608,
R03067,RPA1840,Folate biosynthesis,"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine-",FVSEOF,1,0.2941,-0.0648635251386074,,
R02331,RPA3056,Pyrimidine metabolism,ATPnucleoside-diphosphate phosphatransferase,FVSEOF,1,0.2353,-0.0647308860618741,,
R01197,RPA1226,Citrate cycle (TCA cycle),2-oxoglutarate synthase (rev),FluxRETAP,1,0.1887,,0.068930002286594,
R00372,RPA0789,"Glycine, serine and threonine metabolism",Glycine:2-oxoglutarate aminotransferase,FVSEOF,1,0.1569,-0.0659515870840124,,
R00408,RPA0216,Citrate cycle (TCA cycle),Succinate(acceptor) oxidoreductase,FVSEOF,1,0.0588,-0.1237135705499617,,
R01621,RPA1673,Pentose phosphate pathway,D-Xylulose 5-phosphate D-glyceraldehyde-3-phosphate-lyase,FluxRETAP,1,0.0377,,0.0592801396867017,
R01300,RPA0669,Benzoate degradation,4-Hydroxybenzoate:CoA ligase (AMP-forming),FluxRETAP,1,0.0189,,0.0528892206892881,
